,Beer,Total_Votes,Rating,Brewery,Beer_Style,ABV,Region,Latitude,Longitude,City,State
373,Old Mad Joy,50,4.24,Great Raft Brewing,Baltic Porter,9.00%,south,32.48858619999999,-93.75612650000001,Shreveport,LA
374,All My Tomorrows,76,4.16,Great Raft Brewing,Belgian Saison,7.00%,south,32.48858619999999,-93.75612650000001,Shreveport,LA
375,Maceo,125,4.39,Green Man Brewery,American Wild Ale,8.60%,south-atlantic,35.5886596,-82.55245839999998,Asheville,NC
376,Bootsy,114,4.45,Green Man Brewery,American Wild Ale,9.00%,south-atlantic,35.5886596,-82.55245839999998,Asheville,NC
377,Snozzberry,253,4.48,Green Man Brewery,American Wild Ale,5.50%,south-atlantic,35.5886596,-82.55245839999998,Asheville,NC
378,Afterimage,593,4.43,Grimm Artisanal Ales,New England IPA,8.00%,mid-atlantic,40.714267,-73.93652800000001,New York City,NY
379,Lumen,389,4.36,Grimm Artisanal Ales,New England IPA,6.40%,mid-atlantic,40.714267,-73.93652800000001,New York City,NY
380,Tesseract,567,4.4,Grimm Artisanal Ales,American Imperial IPA,8.00%,mid-atlantic,40.714267,-73.93652800000001,New York City,NY
381,Double Dry-Hopped Tesseract,79,4.45,Grimm Artisanal Ales,American Imperial IPA,8.00%,mid-atlantic,40.714267,-73.93652800000001,New York City,NY
382,Lambo Door,612,4.36,Grimm Artisanal Ales,American Imperial IPA,8.00%,mid-atlantic,40.714267,-73.93652800000001,New York City,NY
383,Magnetic Compass,294,4.43,Grimm Artisanal Ales,New England IPA,6.40%,mid-atlantic,40.714267,-73.93652800000001,New York City,NY
384,Adam From The Wood,"1,010",4.47,Hair Of The Dog Brewing Company / Brewery And Tasting Room,English Old Ale,12.00%,northwest,45.515904,-122.66564309999998,Portland,OR
385,Adam,"2,550",4.26,Hair Of The Dog Brewing Company / Brewery And Tasting Room,English Old Ale,10.00%,northwest,45.515904,-122.66564309999998,Portland,OR
386,Matt,889,4.44,Hair Of The Dog Brewing Company / Brewery And Tasting Room,American Strong Ale,11.50%,northwest,45.515904,-122.66564309999998,Portland,OR
387,Cherry Adam From The Wood,872,4.33,Hair Of The Dog Brewing Company / Brewery And Tasting Room,English Old Ale,13.50%,northwest,45.515904,-122.66564309999998,Portland,OR
388,Beer Hates Astronauts,553,4.38,Half Acre Beer Company,American IPA,7.50%,great-lakes,41.9592712,-87.68217940000001,Chicago,IL
389,Pugachev Royale,309,4.59,Hangar 24 Brewing,Russian Imperial Stout,14.80%,pacific,34.0831152,-117.1418175,Redlands,CA
390,Ruse,104,4.41,Hardywood Park Craft Brewery,English Sweet / Milk Stout,11.30%,south-atlantic,37.5645672,-77.4575783,Richmond,VA
391,Foolery,216,4.47,Hardywood Park Craft Brewery,English Sweet / Milk Stout,13.00%,south-atlantic,37.5645672,-77.4575783,Richmond,VA
392,Bourbon GBS (Gingerbread Stout),742,4.35,Hardywood Park Craft Brewery,English Sweet / Milk Stout,10.20%,south-atlantic,37.5645672,-77.4575783,Richmond,VA
393,Kentucky Christmas Morning,408,4.46,Hardywood Park Craft Brewery,English Sweet / Milk Stout,10.60%,south-atlantic,37.5645672,-77.4575783,Richmond,VA
394,Trickery,509,4.45,Hardywood Park Craft Brewery,English Sweet / Milk Stout,13.50%,south-atlantic,37.5645672,-77.4575783,Richmond,VA
395,Clare's Thirsty Ale,302,4.52,Haymarket Beer Co. Pub & Brewery,American Imperial Stout,12.50%,great-lakes,41.88418799999999,-87.64728149999998,Chicago,IL
396,Blurred Is The Word,91,4.43,Heist Brewery,New England IPA,6.80%,south-atlantic,35.2452802,-80.80930550000002,Charlotte,NC
397,Über Quench'l,51,4.48,Heist Brewery,American Imperial IPA,8.20%,south-atlantic,35.2452802,-80.80930550000002,Charlotte,NC
398,Citraquench'l,276,4.53,Heist Brewery,New England IPA,7.10%,south-atlantic,35.2452802,-80.80930550000002,Charlotte,NC
399,Blurred Up,42,4.48,Heist Brewery,American Imperial IPA,8.40%,south-atlantic,35.2452802,-80.80930550000002,Charlotte,NC
400,Mosaic IPA,358,4.46,Hill Farmstead Brewery,New England IPA,6.00%,new-england,44.6066677,-72.26340929999998,Gebbie Corner,VT
401,Dorothy (Wine Barrel Aged),217,4.53,Hill Farmstead Brewery,Belgian Saison,7.00%,new-england,44.6066677,-72.26340929999998,Gebbie Corner,VT
402,Flora,770,4.46,Hill Farmstead Brewery,Belgian Saison,4.80%,new-england,44.6066677,-72.26340929999998,Gebbie Corner,VT
403,Florence Puncheon,54,4.54,Hill Farmstead Brewery,Belgian Saison,Saison,new-england,44.6066677,-72.26340929999998,Gebbie Corner,VT
404,Genealogy Of Morals - Bourbon Barrel-Aged,657,4.51,Hill Farmstead Brewery,American Imperial Stout,10.70%,new-england,44.6066677,-72.26340929999998,Gebbie Corner,VT
405,Society & Solitude #4,"1,330",4.58,Hill Farmstead Brewery,New England IPA,8.00%,new-england,44.6066677,-72.26340929999998,Gebbie Corner,VT
406,Double Nelson,331,4.55,Hill Farmstead Brewery,New England IPA,8.00%,new-england,44.6066677,-72.26340929999998,Gebbie Corner,VT
407,Ephraim,"1,076",4.56,Hill Farmstead Brewery,New England IPA,10.00%,new-england,44.6066677,-72.26340929999998,Gebbie Corner,VT
408,Beyond Good And Evil,678,4.55,Hill Farmstead Brewery,American Imperial Stout,Stout,new-england,44.6066677,-72.26340929999998,Gebbie Corner,VT
409,Society & Solitude #5,"1,566",4.54,Hill Farmstead Brewery,New England IPA,8.10%,new-england,44.6066677,-72.26340929999998,Gebbie Corner,VT
410,Juicy,687,4.48,Hill Farmstead Brewery,Belgian Saison,7.40%,new-england,44.6066677,-72.26340929999998,Gebbie Corner,VT
411,Damon (Bourbon Barrel Aged),781,4.48,Hill Farmstead Brewery,Russian Imperial Stout,10.50%,new-england,44.6066677,-72.26340929999998,Gebbie Corner,VT
412,Society & Solitude #6,942,4.52,Hill Farmstead Brewery,New England IPA,8.10%,new-england,44.6066677,-72.26340929999998,Gebbie Corner,VT
413,Art,497,4.5,Hill Farmstead Brewery,Belgian Saison,6.50%,new-england,44.6066677,-72.26340929999998,Gebbie Corner,VT
414,Susan,"2,001",4.5,Hill Farmstead Brewery,New England IPA,6.20%,new-england,44.6066677,-72.26340929999998,Gebbie Corner,VT
415,Everett Porter,"2,781",4.5,Hill Farmstead Brewery,American Porter,7.50%,new-england,44.6066677,-72.26340929999998,Gebbie Corner,VT
416,Birth Of Tragedy,"1,270",4.46,Hill Farmstead Brewery,American Imperial Porter,9.00%,new-england,44.6066677,-72.26340929999998,Gebbie Corner,VT
417,Flora - Blueberry,247,4.5,Hill Farmstead Brewery,Belgian Saison,Saison,new-england,44.6066677,-72.26340929999998,Gebbie Corner,VT
418,Double Galaxy,"1,552",4.6,Hill Farmstead Brewery,New England IPA,8.00%,new-england,44.6066677,-72.26340929999998,Gebbie Corner,VT
419,Flora Plum,313,4.62,Hill Farmstead Brewery,Belgian Saison,Saison,new-england,44.6066677,-72.26340929999998,Gebbie Corner,VT
420,Aaron,620,4.61,Hill Farmstead Brewery,British Barleywine,eywine,new-england,44.6066677,-72.26340929999998,Gebbie Corner,VT
421,Double Citra,"1,974",4.61,Hill Farmstead Brewery,New England IPA,8.00%,new-england,44.6066677,-72.26340929999998,Gebbie Corner,VT
422,Ann,408,4.61,Hill Farmstead Brewery,Belgian Saison,6.50%,new-england,44.6066677,-72.26340929999998,Gebbie Corner,VT
423,Clover,164,4.67,Hill Farmstead Brewery,Belgian Saison,Saison,new-england,44.6066677,-72.26340929999998,Gebbie Corner,VT
424,Edward,"2,829",4.43,Hill Farmstead Brewery,American Pale Ale (APA),5.20%,new-england,44.6066677,-72.26340929999998,Gebbie Corner,VT
425,Abner,"2,770",4.63,Hill Farmstead Brewery,New England IPA,8.20%,new-england,44.6066677,-72.26340929999998,Gebbie Corner,VT
426,Midnight Still,141,4.51,Holy Mountain Brewing Company,American Imperial Stout,12.50%,northwest,47.63080799999999,-122.37451709999999,Seattle,WA
427,Clarette,40,4.46,Holy Mountain Brewing Company,American Wild Ale,ld Ale,northwest,47.63080799999999,-122.37451709999999,Seattle,WA
428,Midnight Still (Hazelnut/Cacao),12,4.8,Holy Mountain Brewing Company,American Imperial Stout,13.00%,northwest,47.63080799999999,-122.37451709999999,Seattle,WA
429,Misère Au Borinage,68,4.41,Holy Mountain Brewing Company,Belgian Saison,4.80%,northwest,47.63080799999999,-122.37451709999999,Seattle,WA
430,Astral Projection,48,4.4,Holy Mountain Brewing Company,New England IPA,9.20%,northwest,47.63080799999999,-122.37451709999999,Seattle,WA
431,Dragonsaddle,332,4.48,Hoof Hearted Brewing,New England IPA,11.50%,great-lakes,40.366809,-82.816682,Pagetown,OH
432,Key Bump,108,4.43,Hoof Hearted Brewing,American Imperial IPA,10.50%,great-lakes,40.366809,-82.816682,Pagetown,OH
433,Konkey Dong,343,4.36,Hoof Hearted Brewing,American Imperial IPA,8.00%,great-lakes,40.366809,-82.816682,Pagetown,OH
434,Roller Blabe DIPA,351,4.38,Hoof Hearted Brewing,American Imperial IPA,8.00%,great-lakes,40.366809,-82.816682,Pagetown,OH
435,Double Grid,55,4.51,Hop Butcher For The World,American Imperial IPA,7.50%,great-lakes,41.734417799999996,-87.9702027,Darien,IL
436,Proper Dose,57,4.64,Horus Aged Ales,American Imperial Stout,13.90%,pacific,33.2067417,-117.29568870000001,Oceanside,CA
437,Apotheosis,33,4.48,Hudson Valley Brewery,New England IPA,6.00%,mid-atlantic,41.5016769,-73.9630756,Beacon,NY
438,Demiurge,20,4.58,Hudson Valley Brewery,New England IPA,8.00%,mid-atlantic,41.5016769,-73.9630756,Beacon,NY
439,Koffee Kölsch,98,4.28,Huss Brewing Co,German Kölsch,4.75%,southwest,33.356758,-111.96504499999999,Desert Villas,AZ
440,Rum King,520,4.33,Indeed Brewing Company,American Imperial Stout,10.50%,midwest,45.00336979999999,-93.2515313,Minneapolis,MN
441,Label Us Notorious - Calvados BA Big Poppa,62,4.62,J. Wakefield Brewing,American Imperial Stout,17.00%,south-atlantic,25.7995427,-80.19751649999998,Miami,FL
442,I Let My Tape Rock,45,4.69,J. Wakefield Brewing,American Imperial Stout,17.00%,south-atlantic,25.7995427,-80.19751649999998,Miami,FL
443,Miami Madness,424,4.57,J. Wakefield Brewing,Berliner Weisse,5.50%,south-atlantic,25.7995427,-80.19751649999998,Miami,FL
444,DFPF,432,4.52,J. Wakefield Brewing,Berliner Weisse,3.50%,south-atlantic,25.7995427,-80.19751649999998,Miami,FL
445,It Was All A Dream,116,4.73,J. Wakefield Brewing,American Imperial Stout,17.00%,south-atlantic,25.7995427,-80.19751649999998,Miami,FL
446,Big Poppa,122,4.47,J. Wakefield Brewing,American Imperial Stout,15.00%,south-atlantic,25.7995427,-80.19751649999998,Miami,FL
447,Jackie O's / Side Project - Appervation,246,4.52,Jackie O's Pub & Brewery,American Imperial Stout,15.00%,great-lakes,39.3277484,-82.10230059999998,Athens,OH
448,Bourbon Barrel Oro Negro,533,4.49,Jackie O's Pub & Brewery,American Imperial Stout,12.10%,great-lakes,39.3277484,-82.10230059999998,Athens,OH
449,Bourbon Barrel Black Maple,"1,087",4.47,Jackie O's Pub & Brewery,American Imperial Porter,11.00%,great-lakes,39.3277484,-82.10230059999998,Athens,OH
450,Oro Negro,942,4.42,Jackie O's Pub & Brewery,American Imperial Stout,10.00%,great-lakes,39.3277484,-82.10230059999998,Athens,OH
451,Bourbon Barrel Champion Ground,627,4.48,Jackie O's Pub & Brewery,American Imperial Stout,12.00%,great-lakes,39.3277484,-82.10230059999998,Athens,OH
452,Wood Burner (Bourbon Barrel-Aged),378,4.37,Jackie O's Pub & Brewery,American Imperial Stout,11.00%,great-lakes,39.3277484,-82.10230059999998,Athens,OH
453,Funk Metal,751,4.17,Jester King Brewery,American Wild Ale,7.00%,southwest,30.2304304,-97.99957950000001,Austin,TX
454,Boxer's Revenge,823,4.17,Jester King Brewery,American Wild Ale,10.20%,southwest,30.2304304,-97.99957950000001,Austin,TX
455,Montmorency Vs Balaton,856,4.52,Jester King Brewery,American Wild Ale,6.70%,southwest,30.2304304,-97.99957950000001,Austin,TX
456,Bière De Lenoir,29,4.37,Jester King Brewery,American Wild Ale,6.90%,southwest,30.2304304,-97.99957950000001,Austin,TX
457,Bière De Syrah,158,4.45,Jester King Brewery,American Wild Ale,7.30%,southwest,30.2304304,-97.99957950000001,Austin,TX
458,分 桃 (Fēn Táo),511,4.36,Jester King Brewery,American Wild Ale,6.40%,southwest,30.2304304,-97.99957950000001,Austin,TX
459,Bière De Blanc Du Bois,289,4.45,Jester King Brewery,American Wild Ale,6.70%,southwest,30.2304304,-97.99957950000001,Austin,TX
460,SPON - Peach & Apricot,93,4.39,Jester King Brewery,Belgian Fruit Lambic,5.50%,southwest,30.2304304,-97.99957950000001,Austin,TX
461,Birra di Sangiovese,38,4.29,Jester King Brewery,American Wild Ale,7.40%,southwest,30.2304304,-97.99957950000001,Austin,TX
462,SPON - Raspberry & Cherry,77,4.4,Jester King Brewery,Belgian Fruit Lambic,5.40%,southwest,30.2304304,-97.99957950000001,Austin,TX
463,Nocturn Chrysalis,819,4.33,Jester King Brewery,American Wild Ale,5.90%,southwest,30.2304304,-97.99957950000001,Austin,TX
464,Foudreweizen,212,4.34,Jester King Brewery,Belgian Saison,5.60%,southwest,30.2304304,-97.99957950000001,Austin,TX
465,Reposé,251,4.21,Jester King Brewery,French Bière de Garde,8.30%,southwest,30.2304304,-97.99957950000001,Austin,TX
466,Aurelian Lure,734,4.49,Jester King Brewery,American Wild Ale,5.40%,southwest,30.2304304,-97.99957950000001,Austin,TX
467,CRU 55,36,4.32,Jester King Brewery,Flanders Red Ale,8.30%,southwest,30.2304304,-97.99957950000001,Austin,TX
468,SPON - Méthode Traditionelle,156,4.33,Jester King Brewery,Belgian Gueuze,5.80%,southwest,30.2304304,-97.99957950000001,Austin,TX
469,RU-55,714,4.21,Jester King Brewery,American Wild Ale,7.30%,southwest,30.2304304,-97.99957950000001,Austin,TX
470,Cerveza De Tempranillo,291,4.29,Jester King Brewery,American Wild Ale,7.20%,southwest,30.2304304,-97.99957950000001,Austin,TX
471,Synthesis Analogous,81,4.28,Jester King Brewery,American Wild Ale,5.60%,southwest,30.2304304,-97.99957950000001,Austin,TX
472,Colour Five,308,4.24,Jester King Brewery,American Wild Ale,7.10%,southwest,30.2304304,-97.99957950000001,Austin,TX
473,Detritivore,365,4.26,Jester King Brewery,Belgian Saison,5.50%,southwest,30.2304304,-97.99957950000001,Austin,TX
474,Atrial Rubicite,"1,897",4.59,Jester King Brewery,American Wild Ale,5.80%,southwest,30.2304304,-97.99957950000001,Austin,TX
475,Omniscience & Proselytism,436,4.38,Jester King Brewery,American Wild Ale,5.00%,southwest,30.2304304,-97.99957950000001,Austin,TX
476,Holy Nights,34,4.48,Kane Brewing Company,American Imperial Stout,10.70%,mid-atlantic,40.236589200000004,-74.0450475,Ocean Township,NJ
477,Head High - Double Dry-Hopped With Galaxy,81,4.4,Kane Brewing Company,New England IPA,6.50%,mid-atlantic,40.236589200000004,-74.0450475,Ocean Township,NJ
478,Sunday Brunch,774,4.56,Kane Brewing Company,American Imperial Porter,9.20%,mid-atlantic,40.236589200000004,-74.0450475,Ocean Township,NJ
479,Mexican Brunch,543,4.56,Kane Brewing Company,American Imperial Porter,9.20%,mid-atlantic,40.236589200000004,-74.0450475,Ocean Township,NJ
480,Mexican Brunch - Bourbon Barrel-Aged,43,4.52,Kane Brewing Company,American Imperial Porter,11.40%,mid-atlantic,40.236589200000004,-74.0450475,Ocean Township,NJ
481,A Night To End All Dawns,599,4.41,Kane Brewing Company,American Imperial Stout,12.20%,mid-atlantic,40.236589200000004,-74.0450475,Ocean Township,NJ
482,Hop Delusion,420,4.23,Karbach Brewing Co.,American Imperial IPA,9.00%,southwest,29.7604,-95.3698,Houston,TX
483,Bourbon Barrel Hellfighter (w/ Vanilla Bean),155,4.28,Karbach Brewing Co.,American Imperial Porter,11.00%,southwest,29.7604,-95.3698,Houston,TX
484,Bourbon Barrel Aged Hellfighter,561,4.31,Karbach Brewing Co.,American Imperial Porter,10.80%,southwest,29.7604,-95.3698,Houston,TX
485,Citra,"1,801",4.56,Kern River Brewing Company,American Imperial IPA,8.00%,pacific,35.7574666,-118.4192969,Wofford Heights,CA
486,Winter Ale (5th Anniversary Ale),375,4.45,Kern River Brewing Company,American Imperial IPA,8.00%,pacific,35.7574666,-118.4192969,Wofford Heights,CA
487,Raspberry Eisbock,"1,298",4.38,Kuhnhenn Brewing Company,German Eisbock,15.50%,great-lakes,42.5621083,-82.9168755,Clinton Township,MI
488,DRIPA (Double Rice IPA),"1,019",4.39,Kuhnhenn Brewing Company,American Imperial IPA,9.50%,great-lakes,42.5621083,-82.9168755,Clinton Township,MI
489,Bourbon Barrel-Aged Barley Wine,770,4.42,Kuhnhenn Brewing Company,British Barleywine,14.50%,great-lakes,42.5621083,-82.9168755,Clinton Township,MI
490,Solstice Stout,128,4.53,Kuhnhenn Brewing Company,American Imperial Stout,16.00%,great-lakes,42.5621083,-82.9168755,Clinton Township,MI
491,Fourth Dementia - Bourbon Barrel-Aged,"1,979",4.55,Kuhnhenn Brewing Company,English Old Ale,13.50%,great-lakes,42.5621083,-82.9168755,Clinton Township,MI
492,Pile Of Crowns,109,4.47,LIC Beer Project,New England IPA,8.50%,mid-atlantic,40.7549273,-73.9392266,New York City,NY
493,Full Nelson,133,4.34,La Cumbre Brewing Co.,American Imperial IPA,8.74%,southwest,35.117807000000006,-106.614117,Albuquerque,NM
494,Cafe Con Leche,70,4.29,La Cumbre Brewing Co.,English Sweet / Milk Stout,7.50%,southwest,35.117807000000006,-106.614117,Albuquerque,NM
495,Father Nelson,171,4.35,La Cumbre Brewing Co.,American Imperial IPA,10.60%,southwest,35.117807000000006,-106.614117,Albuquerque,NM
496,Project Dank,881,4.41,La Cumbre Brewing Co.,American IPA,7.50%,southwest,35.117807000000006,-106.614117,Albuquerque,NM
497,Postcards from Hell,13,4.5,La Cumbre Brewing Co.,American Imperial IPA,8.00%,southwest,35.117807000000006,-106.614117,Albuquerque,NM
498,Elevated IPA,"1,544",4.34,La Cumbre Brewing Co.,American IPA,7.20%,southwest,35.117807000000006,-106.614117,Albuquerque,NM
499,Born Yesterday Pale Ale,"2,675",4.4,Lagunitas Brewing Company,American Pale Ale (APA),7.70%,pacific,38.2324,-122.6367,Petaluma,CA
500,Sin Mint Temptress,145,4.2,Lakewood Brewing Company,English Sweet / Milk Stout,9.10%,southwest,32.889936999999996,-96.680945,Garland,TX
501,Bourbon Barrel Temptress,284,4.38,Lakewood Brewing Company,English Sweet / Milk Stout,11.30%,southwest,32.889936999999996,-96.680945,Garland,TX
502,French Quarter Temptress,207,4.31,Lakewood Brewing Company,English Sweet / Milk Stout,9.10%,southwest,32.889936999999996,-96.680945,Garland,TX
503,Sip Of Sunshine,"5,673",4.56,Lawson's Finest Liquids,American Imperial IPA,8.00%,new-england,44.187807,-72.8351806,Waitsfield,VT
504,Double Sunshine,"2,404",4.64,Lawson's Finest Liquids,American Imperial IPA,8.00%,new-england,44.187807,-72.8351806,Waitsfield,VT
505,Triple Sunshine,900,4.59,Lawson's Finest Liquids,American Imperial IPA,10.30%,new-england,44.187807,-72.8351806,Waitsfield,VT
506,Zeus Imperial IPA,181,4.4,Lengthwise Brewing Company,American Imperial IPA,10.00%,pacific,35.3134024,-119.0881211,Bakersfield,CA
507,Barrel-Aged Silhouette,497,4.51,Lift Bridge Brewery,Russian Imperial Stout,10.00%,midwest,45.039217,-92.83176800000001,Stillwater,MN
508,Old Treehugger Barleywine,94,4.26,Live Oak Brewing Company,American Barleywine,11.50%,southwest,30.2209082,-97.6610692,Austin,TX
509,Primus Weizenbock,282,4.24,Live Oak Brewing Company,German Weizenbock,8.30%,southwest,30.2209082,-97.6610692,Austin,TX
510,HefeWeizen,"1,745",4.34,Live Oak Brewing Company,German Hefeweizen,5.30%,southwest,30.2209082,-97.6610692,Austin,TX
511,Peche 'n Brett,"1,419",4.44,Logsdon Farmhouse Ales,Belgian Saison,10.00%,northwest,45.578261,-122.35194320000001,Washougal,WA
512,Seizoen Bretta,"1,542",4.27,Logsdon Farmhouse Ales,Belgian Saison,8.00%,northwest,45.578261,-122.35194320000001,Washougal,WA
513,Nighty Night,54,4.27,Lost Forty Brewery,American Imperial Stout,11.20%,south,34.7424497,-92.2593268,Little Rock,AR
514,Trash Panda IPA,36,4.27,Lost Forty Brewery,New England IPA,7.20%,south,34.7424497,-92.2593268,Little Rock,AR
515,Carpe Diem,54,4.47,Madhouse Brewing Company,American Imperial Stout,11.50%,midwest,41.5811277,-93.607726,Des Moines,IA
516,Dinner,"2,427",4.63,Maine Beer Company,New England IPA,8.20%,new-england,43.839144,-70.12140699999999,Todds Corners,ME
517,Acheron,55,4.31,Martin House Brewing Company,American Imperial Stout,12.00%,southwest,32.7636239,-97.31005959999999,Fort Worth,TX
518,Citradamus IIPA,223,4.26,Melvin Brewing / Thai Me Up,American Imperial IPA,9.50%,mountain,43.4799,-110.7624,Jackson,WY
519,Asterisk IIPA,290,4.29,Melvin Brewing / Thai Me Up,American Imperial IPA,9.00%,mountain,43.4799,-110.7624,Jackson,WY
520,2x4 DIPA,815,4.3,Melvin Brewing / Thai Me Up,American Imperial IPA,9.90%,mountain,43.4799,-110.7624,Jackson,WY
521,Berserker Imperial Stout,"1,207",4.33,Midnight Sun Brewing Co.,American Imperial Stout,12.70%,northwest,61.147230900000004,-149.8445081,Anchorage,AK
522,Arctic Devil Barley Wine,"1,377",4.36,Midnight Sun Brewing Co.,British Barleywine,13.20%,northwest,61.147230900000004,-149.8445081,Anchorage,AK
523,Sloth - Belgian-Style Imperial Stout,129,4.33,Midnight Sun Brewing Co.,Russian Imperial Stout,10.20%,northwest,61.147230900000004,-149.8445081,Anchorage,AK
524,Bar Fly (Bourbon Barrel Aged),200,4.29,Midnight Sun Brewing Co.,American Imperial Stout,11.60%,northwest,61.147230900000004,-149.8445081,Anchorage,AK
525,Imperial Smells Like Bean Spirit,161,4.42,Mikerphone Brewing,American Imperial Stout,10.75%,great-lakes,42.0297529,-87.96754530000003,Elk Grove Village,IL
526,Imperial Smells Like Bean Spirit - Bourbon Barrel-Aged,62,4.49,Mikerphone Brewing,American Imperial Stout,12.00%,great-lakes,42.0297529,-87.96754530000003,Elk Grove Village,IL
527,Mikerphone / More - Barrel-Aged Vanillanoize,40,4.52,Mikerphone Brewing,American Imperial Stout,11.20%,great-lakes,42.0297529,-87.96754530000003,Elk Grove Village,IL
528,"Mikerphone Check 1, 2",104,4.4,Mikerphone Brewing,New England IPA,8.00%,great-lakes,42.0297529,-87.96754530000003,Elk Grove Village,IL
529,Uncle Disheveled,15,4.31,Mile Wide Beer Co.,American Stout,5.50%,south,38.2460455,-85.733024,Louisville,KY
530,NOMAH! (Scavenger Series - Northeast IPA),18,4.29,Mile Wide Beer Co.,American IPA,6.50%,south,38.2460455,-85.733024,Louisville,KY
531,Twisted Trace,174,4.41,Minneapolis Town Hall Brewery,American Barleywine,9.90%,midwest,44.9733315,-93.24778570000001,Minneapolis,MN
532,Ol' Jack Frost Imperial Stout,64,4.45,Minneapolis Town Hall Brewery,Russian Imperial Stout,9.50%,midwest,44.9733315,-93.24778570000001,Minneapolis,MN
533,Three Hour Tour,302,4.42,Minneapolis Town Hall Brewery,English Sweet / Milk Stout,6.10%,midwest,44.9733315,-93.24778570000001,Minneapolis,MN
534,Czar Jack Imperial Stout,429,4.34,Minneapolis Town Hall Brewery,Russian Imperial Stout,9.30%,midwest,44.9733315,-93.24778570000001,Minneapolis,MN
535,Masala Mama India Pale Ale,"1,391",4.32,Minneapolis Town Hall Brewery,American IPA,6.00%,midwest,44.9733315,-93.24778570000001,Minneapolis,MN
536,Russian Roulette,102,4.49,Minneapolis Town Hall Brewery,Russian Imperial Stout,9.30%,midwest,44.9733315,-93.24778570000001,Minneapolis,MN
537,Monster Tones,23,4.74,Modern Times Beer,American Imperial Stout,13.00%,pacific,32.7157,-117.1611,San Diego,CA
538,Modem Tones - Bourbon Barrel-Aged - Vanilla,72,4.62,Modern Times Beer,American Imperial Stout,14.40%,pacific,32.7157,-117.1611,San Diego,CA
539,Dinosaur World,102,4.41,Modern Times Beer,New England IPA,8.00%,pacific,32.7157,-117.1611,San Diego,CA
540,I Never Sleep,43,4.49,Monkish Brewing Co.,American Imperial IPA,8.40%,pacific,33.8463468,-118.31034869999999,Torrance,CA
541,Foggy Window,202,4.52,Monkish Brewing Co.,New England IPA,8.10%,pacific,33.8463468,-118.31034869999999,Torrance,CA
542,Foggier Window,207,4.51,Monkish Brewing Co.,New England IPA,8.10%,pacific,33.8463468,-118.31034869999999,Torrance,CA
543,Beats Is Infinite,62,4.47,Monkish Brewing Co.,American Imperial IPA,8.30%,pacific,33.8463468,-118.31034869999999,Torrance,CA
544,Adios Ghost,18,4.69,Monkish Brewing Co.,American Imperial IPA,10.20%,pacific,33.8463468,-118.31034869999999,Torrance,CA
545,Spock It,117,4.44,Monkish Brewing Co.,New England IPA,6.50%,pacific,33.8463468,-118.31034869999999,Torrance,CA
546,Bomb Atomically,72,4.48,Monkish Brewing Co.,American Imperial IPA,8.30%,pacific,33.8463468,-118.31034869999999,Torrance,CA
547,Babbleship,34,4.56,Monkish Brewing Co.,New England IPA,8.20%,pacific,33.8463468,-118.31034869999999,Torrance,CA
548,Atomically,74,4.52,Monkish Brewing Co.,American Imperial IPA,8.30%,pacific,33.8463468,-118.31034869999999,Torrance,CA
549,"Biggie, Biggie, Biggie",35,4.59,Monkish Brewing Co.,New England IPA,10.10%,pacific,33.8463468,-118.31034869999999,Torrance,CA
550,DOJO,73,4.45,Moonraker Brewing Company,American Imperial IPA,8.40%,pacific,38.950533,-121.08175200000001,Auburn,CA
551,Yojo,93,4.48,Moonraker Brewing Company,New England IPA,7.00%,pacific,38.950533,-121.08175200000001,Auburn,CA
552,Barrel-Aged Henna - Karma,30,4.62,More Brewing Co.,American Imperial Stout,14.30%,great-lakes,41.88678609999999,-87.9694437,Villa Park,IL
553,Tower Station IPA,202,4.19,Mother Road Brewery,American IPA,7.30%,southwest,35.196808000000004,-111.65251799999999,Flagstaff,AZ
554,Hop Vivant,32,4.42,Mountain Sun Pub & Brewery,American Imperial IPA,9.70%,mountain,40.01901050000001,-105.27520729999999,Boulder,CO
555,OJ Run,92,4.43,Narrow Gauge Brewing Company,American Imperial IPA,8.60%,midwest,38.7988498,-90.319049,Florissant,MO
556,Fallen Flag - Double Dry-Hopped,114,4.39,Narrow Gauge Brewing Company,New England IPA,7.00%,midwest,38.7988498,-90.319049,Florissant,MO
557,King Fallen Flag,47,4.44,Narrow Gauge Brewing Company,American Imperial IPA,8.60%,midwest,38.7988498,-90.319049,Florissant,MO
558,Fallen Flag,126,4.35,Narrow Gauge Brewing Company,New England IPA,7.00%,midwest,38.7988498,-90.319049,Florissant,MO
559,OJ Run - Double Dry-Hopped,56,4.41,Narrow Gauge Brewing Company,American Imperial IPA,8.60%,midwest,38.7988498,-90.319049,Florissant,MO
560,La Folie,"4,029",4.25,New Belgium Brewing,Flanders Oud Bruin,7.00%,mountain,40.5853,-105.0844,Fort Collins,CO
561,Le Terroir,"2,447",4.29,New Belgium Brewing,American Wild Ale,7.50%,mountain,40.5853,-105.0844,Fort Collins,CO
562,Fuzzy Baby Ducks,"1,053",4.47,New England Brewing Co.,New England IPA,6.20%,new-england,41.339226399999994,-72.9795895,Woodbridge,CT
563,Locust Reign,371,4.48,New England Brewing Co.,New England IPA,8.20%,new-england,41.339226399999994,-72.9795895,Woodbridge,CT
